codigo_ponto;perfuracao__data;perfuracao__profundidade_final_m;perfuracao__metodo;boca_do_tubo__data;boca_do_tubo__diametro_pol;profundidade_util__data;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc
2900005904;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005904;data/raw/html_pocos/2900005904.html;;;2026-04-10T17:30:38.502430+00:00
2900005904;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005904;data/raw/html_pocos/2900005904.html;;;2026-04-10T17:30:38.502430+00:00
2900005905;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005905;data/raw/html_pocos/2900005905.html;;;2026-04-10T17:30:38.897840+00:00
2900005905;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005905;data/raw/html_pocos/2900005905.html;;;2026-04-10T17:30:38.897840+00:00
2900005906;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005906;data/raw/html_pocos/2900005906.html;;;2026-04-10T17:30:39.298722+00:00
2900005906;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005906;data/raw/html_pocos/2900005906.html;;;2026-04-10T17:30:39.298722+00:00
2900005907;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005907;data/raw/html_pocos/2900005907.html;;;2026-04-10T17:30:39.698570+00:00
2900005907;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005907;data/raw/html_pocos/2900005907.html;;;2026-04-10T17:30:39.698570+00:00
2900005908;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005908;data/raw/html_pocos/2900005908.html;;;2026-04-10T17:30:40.094646+00:00
2900005908;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005908;data/raw/html_pocos/2900005908.html;;;2026-04-10T17:30:40.094646+00:00
2900005909;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005909;data/raw/html_pocos/2900005909.html;;;2026-04-10T17:30:40.493450+00:00
2900005909;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005909;data/raw/html_pocos/2900005909.html;;;2026-04-10T17:30:40.493450+00:00
2900005910;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005910;data/raw/html_pocos/2900005910.html;;;2026-04-10T17:30:40.898840+00:00
2900005910;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005910;data/raw/html_pocos/2900005910.html;;;2026-04-10T17:30:40.898840+00:00
2900005911;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005911;data/raw/html_pocos/2900005911.html;;;2026-04-10T17:30:41.297869+00:00
2900005911;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005911;data/raw/html_pocos/2900005911.html;;;2026-04-10T17:30:41.297869+00:00
2900005913;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005913;data/raw/html_pocos/2900005913.html;;;2026-04-10T17:30:41.696674+00:00
2900005913;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005913;data/raw/html_pocos/2900005913.html;;;2026-04-10T17:30:41.696674+00:00
2900005972;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005972;data/raw/html_pocos/2900005972.html;;;2026-04-10T17:30:42.097729+00:00
2900005972;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005972;data/raw/html_pocos/2900005972.html;;;2026-04-10T17:30:42.097729+00:00
2900005973;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005973;data/raw/html_pocos/2900005973.html;;;2026-04-10T17:30:42.495627+00:00
2900005973;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900005973;data/raw/html_pocos/2900005973.html;;;2026-04-10T17:30:42.495627+00:00
2900006027;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006027;data/raw/html_pocos/2900006027.html;;;2026-04-10T17:30:42.891724+00:00
2900006027;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006027;data/raw/html_pocos/2900006027.html;;;2026-04-10T17:30:42.891724+00:00
2900006028;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006028;data/raw/html_pocos/2900006028.html;;;2026-04-10T17:30:43.290551+00:00
2900006028;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006028;data/raw/html_pocos/2900006028.html;;;2026-04-10T17:30:43.290551+00:00
2900006029;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006029;data/raw/html_pocos/2900006029.html;;;2026-04-10T17:30:43.690626+00:00
2900006029;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006029;data/raw/html_pocos/2900006029.html;;;2026-04-10T17:30:43.690626+00:00
2900006030;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006030;data/raw/html_pocos/2900006030.html;;;2026-04-10T17:30:44.090296+00:00
2900006030;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006030;data/raw/html_pocos/2900006030.html;;;2026-04-10T17:30:44.090296+00:00
2900006031;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006031;data/raw/html_pocos/2900006031.html;;;2026-04-10T17:30:44.491242+00:00
2900006031;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006031;data/raw/html_pocos/2900006031.html;;;2026-04-10T17:30:44.491242+00:00
2900006032;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006032;data/raw/html_pocos/2900006032.html;;;2026-04-10T17:30:44.890375+00:00
2900006032;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006032;data/raw/html_pocos/2900006032.html;;;2026-04-10T17:30:44.890375+00:00
2900006033;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006033;data/raw/html_pocos/2900006033.html;;;2026-04-10T17:30:45.324165+00:00
2900006033;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006033;data/raw/html_pocos/2900006033.html;;;2026-04-10T17:30:45.324165+00:00
2900006881;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006881;data/raw/html_pocos/2900006881.html;;;2026-04-10T17:30:45.717279+00:00
2900006881;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900006881;data/raw/html_pocos/2900006881.html;;;2026-04-10T17:30:45.717279+00:00
2900007148;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900007148;data/raw/html_pocos/2900007148.html;;;2026-04-10T17:30:46.110601+00:00
2900007148;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900007148;data/raw/html_pocos/2900007148.html;;;2026-04-10T17:30:46.110601+00:00
2900017252;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900017252;data/raw/html_pocos/2900017252.html;;;2026-04-10T17:30:46.515049+00:00
2900017252;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900017252;data/raw/html_pocos/2900017252.html;;;2026-04-10T17:30:46.515049+00:00
2900017253;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900017253;data/raw/html_pocos/2900017253.html;;;2026-04-10T17:30:46.910926+00:00
2900017253;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900017253;data/raw/html_pocos/2900017253.html;;;2026-04-10T17:30:46.910926+00:00
2900022355;Profundidade Inicial (m):;Perfurador:;;Altura(m):;Diâmetro (mm):;Profundidade Útil:;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022355;data/raw/html_pocos/2900022355.html;;;2026-04-10T17:30:47.307363+00:00
2900022355;Profundidade Inicial (m):;Perfurador:;;;;;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900022355;data/raw/html_pocos/2900022355.html;;;2026-04-10T17:30:47.307363+00:00
