codigo_ponto;url_detalhe;html_local;imagem_origem_url;imagem_local;updated_at_utc;analises_quimicas__amostra;analises_quimicas__data_da_coleta;analises_quimicas__condutividade_eletrica_s_cm;analises_quimicas__qualidade_da_agua_pt_co;analises_quimicas__sabor_da_agua;analises_quimicas__qualidade_da_agua_odor;analises_quimicas__temperatura_co;analises_quimicas__turbides_ntu;analises_quimicas__solidos_suspensos_mg_l;analises_quimicas__solidos_sedimentaveis_mg_l;analises_quimicas__aspecto_natural;analises_quimicas__parametro;analises_quimicas__unidade
2900027831;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027831;data/raw/html_pocos/2900027831.html;;;2026-04-10T17:28:37.021307+00:00;CERB 304763/2013;15/12/2013;1023;5;;;;;;;;;
2900027831;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027831;data/raw/html_pocos/2900027831.html;;;2026-04-10T17:28:37.021307+00:00;CERB 304763/2013;15/12/2013;1023;5;;;;;;;;;
2900027832;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027832;data/raw/html_pocos/2900027832.html;;;2026-04-10T17:28:37.424557+00:00;CERB 304689/2013;11/12/2013;2008;5;;;;;;;;;
2900027832;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027832;data/raw/html_pocos/2900027832.html;;;2026-04-10T17:28:37.424557+00:00;CERB 304689/2013;11/12/2013;2008;5;;;;;;;;;
2900027833;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027833;data/raw/html_pocos/2900027833.html;;;2026-04-10T17:28:37.818191+00:00;;;;;;;;;;;;;
2900027833;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027833;data/raw/html_pocos/2900027833.html;;;2026-04-10T17:28:37.818191+00:00;;;;;;;;;;;;;
2900027834;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027834;data/raw/html_pocos/2900027834.html;;;2026-04-10T17:28:38.208047+00:00;;;;;;;;;;;;;
2900027834;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027834;data/raw/html_pocos/2900027834.html;;;2026-04-10T17:28:38.208047+00:00;;;;;;;;;;;;;
2900027835;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027835;data/raw/html_pocos/2900027835.html;;;2026-04-10T17:28:38.604935+00:00;;;;;;;;;;;;;
2900027835;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027835;data/raw/html_pocos/2900027835.html;;;2026-04-10T17:28:38.604935+00:00;;;;;;;;;;;;;
2900027836;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027836;data/raw/html_pocos/2900027836.html;;;2026-04-10T17:28:39.003795+00:00;;;;;;;;;;;;;
2900027836;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027836;data/raw/html_pocos/2900027836.html;;;2026-04-10T17:28:39.003795+00:00;;;;;;;;;;;;;
2900027837;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027837;data/raw/html_pocos/2900027837.html;;;2026-04-10T17:28:39.436060+00:00;;;;;;;;;;;;;
2900027837;https://siagasweb.sgb.gov.br/layout/detalhe.php?ponto=2900027837;data/raw/html_pocos/2900027837.html;;;2026-04-10T17:28:39.436060+00:00;;;;;;;;;;;;;
